user_id,full_name,email,city,company,email_provider,name_length
1,Leanne Graham,Sincere@april.biz,Gwenborough,Romaguera-Crona,april.biz,13
2,Ervin Howell,Shanna@melissa.tv,Wisokyburgh,Deckow-Crist,melissa.tv,12
3,Clementine Bauch,Nathan@yesenia.net,McKenziehaven,Romaguera-Jacobson,yesenia.net,16
4,Patricia Lebsack,Julianne.OConner@kory.org,South Elvis,Robel-Corkery,kory.org,16
5,Chelsey Dietrich,Lucio_Hettinger@annie.ca,Roscoeview,Keebler LLC,annie.ca,16
6,Mrs. Dennis Schulist,Karley_Dach@jasper.info,South Christy,Considine-Lockman,jasper.info,20
7,Kurtis Weissnat,Telly.Hoeger@billy.biz,Howemouth,Johns Group,billy.biz,15
8,Nicholas Runolfsdottir V,Sherwood@rosamond.me,Aliyaview,Abernathy Group,rosamond.me,24
9,Glenna Reichert,Chaim_McDermott@dana.io,Bartholomebury,Yost and Sons,dana.io,15
10,Clementina Dubuque,Rey.Padberg@karina.biz,Lebsackbury,Hoeger LLC,karina.biz,18
